Date,CDI,IPCA,IMA Geral,IMA-B,IMA-B 5,IMA-B 5+,IRF-M,IRF-M 1,IRF-M 1+,Ibovespa,IDIV,SMLL,S&P 500,Global BDRX,MSCI World
2010-12-31,977.2623405,234.4334086,2162.905845,2385.460775,2227.718087,2736.627654,4791.831607,4650.553509,4986.401456,69304,2567.4,1439,2095.479768,1075.36,2132.854737
2011-01-03,977.6545322,234.5257157,2164.151998,2384.126181,2230.022404,2730.279381,4798.883983,4652.470813,4996.559398,69962,2604.68,1450,2099.85737,1075.43,2126.394236
2011-01-04,978.0468812,234.618059,2163.843993,2381.248504,2230.661052,2722.465612,4798.972723,4654.371059,4995.329402,70317,2616.95,1441,2102.94312,1085.6,2134.500026
2011-01-05,978.4393876,234.7104388,2163.241514,2379.029477,2231.823383,2715.531477,4796.085324,4654.804288,4989.96685,71091,2640.95,1439,2133.514728,1102.23,2147.849768
2011-01-06,978.8320516,234.8028548,2163.031682,2376.308349,2232.617668,2707.884497,4796.67736,4656.750987,4989.582685,70578,2616.08,1431,2147.328945,1110.28,2163.86189
2011-01-07,979.2248732,234.8953073,2160.248346,2367.866826,2231.838823,2688.561583,4789.042299,4656.573402,4976.367112,70057,2606.17,1421,2143.87615,1104.35,2160.578924
2011-01-10,979.6178524,234.9877962,2158.66774,2363.466302,2230.463407,2679.803849,4783.20997,4656.460722,4966.255154,70127,2602.63,1430,2147.4012,1107.11,2157.314818
2011-01-11,980.0109894,235.0803215,2161.161829,2368.11481,2232.876025,2687.753085,4789.446099,4659.910656,4974.640354,70423,2617.48,1438,2152.214376,1106.81,2165.309032
2011-01-12,980.4042841,235.1728833,2162.203295,2372.013019,2234.751893,2694.619157,4787.5382,4661.009613,4970.504576,71632,2640.11,1451,2156.940708,1113.96,2177.914999
2011-01-13,980.7977366,235.2654814,2164.393384,2378.826218,2239.010791,2705.289538,4788.995525,4662.422628,4972.02182,70721,2636.54,1436,2144.007576,1107.08,2180.045972
2011-01-14,981.191347,235.3581161,2164.363149,2380.90211,2238.084731,2711.557566,4783.303918,4662.55845,4961.974688,70940,2649.6,1433,2178.204132,1125.15,2204.742356
2011-01-17,981.5851154,235.4507872,2164.519183,2382.130776,2237.985903,2714.657901,4780.015558,4663.894392,4955.253321,70609,2639.45,1427,2178.204132,1115.58,2198.822059
2011-01-18,981.9790418,235.5434948,2166.386563,2385.822118,2239.033092,2721.907441,4784.029537,4665.801121,4960.879366,70919,2621.69,1433,2168.51099,1110.87,2203.932818
2011-01-19,982.3731264,235.6362389,2167.301758,2386.094448,2240.139594,2721.148524,4787.466446,4667.399643,4965.721428,70058,2601.96,1423,2142.601088,1101.07,2187.543088
2011-01-20,982.7849536,235.7290196,2168.542705,2387.447008,2240.927123,2723.297252,4790.182691,4670.777345,4968.007014,69561,2590.53,1419,2139.95459,1102.9,2164.74722
2011-01-21,983.1969535,235.8218367,2168.8786,2386.459412,2240.548248,2721.481755,4791.62306,4672.943531,4968.945628,69133,2566.78,1412,2146.146205,1112.61,2178.243241
2011-01-24,983.6091262,235.9146904,2166.363906,2376.137999,2235.842764,2703.445428,4789.267526,4673.98191,4964.071606,69426,2586.5,1417,2159.704404,1112,1957.488519
2011-01-25,984.0214716,236.0075807,2167.400547,2377.434322,2237.053931,2704.931148,4791.507733,4676.103791,4966.44052,69426,2586.5,1417,2162.08091,1112,1958.061505
2011-01-26,984.4339898,236.1005075,2167.03195,2376.88157,2238.202443,2702.204801,4787.438735,4677.315413,4958.445324,68709,2583.85,1392,2164.334796,1118.09,1938.834222
2011-01-27,984.8466811,236.193471,2167.653262,2377.729161,2241.199104,2700.40487,4787.884616,4679.604794,4957.555916,68050,2555.42,1357,2172.83088,1121.74,1920.85212
2011-01-28,985.2595453,236.286471,2168.736377,2378.391742,2244.27041,2698.081792,4791.553717,4682.975453,4961.512095,66697,2506.01,1315,2141.953788,1110.58,1916.927306
2011-01-31,985.6725826,236.3795076,2168.547314,2378.036217,2245.320318,2695.937061,4788.155289,4685.302863,4953.875656,66574,2501.51,1319,2152.193208,1101.99,1911.165039
2011-02-01,986.085793,236.4737043,2170.824765,2382.938165,2248.169371,2703.730906,4792.607895,4687.281475,4960.215962,67847,2516.71,1343,2174.652929,1125.82,1895.777669
2011-02-02,986.4991767,236.5679386,2173.706558,2386.964197,2250.886006,2709.658619,4802.416753,4690.02184,4975.079764,66688,2484.69,1326,2173.948413,1126.93,1907.407464
2011-02-03,986.9127337,236.6622103,2172.963643,2383.462105,2250.60087,2701.890343,4800.490005,4691.726546,4970.617849,66764,2477.89,1305,2182.46487,1121.04,1905.318046
2011-02-04,987.326464,236.7565197,2170.967805,2376.712616,2248.585822,2688.760891,4795.553495,4692.799858,4961.451082,65269,2436.48,1284,2194.134206,1126.19,1918.012441
2011-02-07,987.7403678,236.8508666,2171.915545,2376.014016,2248.773338,2686.904067,4800.10904,4696.056383,4966.990281,65362,2457.17,1293,2212.83828,1144.42,1910.455913
2011-02-08,988.1544451,236.9452512,2177.638758,2388.408812,2254.519588,2708.443493,4815.41473,4699.347331,4990.861015,65771,2471.19,1305,2213.488927,1136.61,1906.845419
2011-02-09,988.568696,237.0396733,2179.020883,2390.165893,2255.776309,2710.941151,4819.059795,4701.266029,4995.765484,64217,2418.71,1280,2198.340584,1125.07,1902.561188
2011-02-10,988.9834736,237.1341331,2178.327674,2388.193415,2255.47019,2706.748757,4815.069828,4703.017169,4987.748823,64577,2411.22,1273,2204.87916,1126.51,1912.265256
2011-02-11,989.3980721,237.2286305,2178.572819,2386.966889,2254.881129,2704.643019,4815.6442,4705.154695,4987.259815,65755,2447.07,1298,2216.889285,1130.57,1903.824455
2011-02-14,989.8131977,237.3231655,2177.481566,2383.389681,2252.734304,2699.040567,4811.561249,4705.401535,4980.11871,66557,2458.66,1323,2222.442992,1136.6,1886.599415
2011-02-15,990.2284975,237.4177383,2178.197383,2380.339637,2252.64028,2692.081052,4818.370406,4708.114196,4989.87976,66341,2474.39,1325,2215.386282,1131.21,1882.093268
2011-02-16,990.6439716,237.5123487,2181.44525,2386.244771,2255.077674,2702.731097,4827.672799,4710.507207,5004.117638,67576,2533.47,1344,2232.188928,1134.91,1884.832589
2011-02-17,991.0596199,237.6069968,2183.582992,2389.243106,2256.952094,2707.335983,4834.319123,4712.5631,5014.052238,67684,2536.69,1345,2233.290423,1130.55,1880.443765
2011-02-18,991.4757967,237.7016827,2184.654333,2389.975836,2258.900111,2706.583342,4837.570196,4714.697186,5018.135896,68066,2555.64,1359,2239.737777,1128.4,1897.775892
2011-02-21,991.8921482,237.7964063,2184.503305,2388.360432,2259.979055,2701.469572,4835.931454,4715.788356,5014.587584,67258,2540.03,1342,2239.737777,1125.59,1896.592931
2011-02-22,992.3086745,237.8911676,2186.372072,2391.120114,2261.251985,2706.278018,4841.162334,4717.821645,5022.120944,66439,2520.93,1319,2195.995536,1111.28,1892.089613
2011-02-23,992.7253758,237.9859667,2186.87113,2392.11169,2262.317788,2707.238845,4840.24881,4718.944405,5019.789176,66910,2512.89,1314,2185.9728,1107.17,1910.0092
